"feature","factor","stage","mu.star","sigma","n_na"
"sphericity","up4.t_hold","up4",4.02414520273472e-07,9.38576092658964e-07,0
"sphericity","up4.Tg_polymer","up4",0.00705860607794188,0.0175266577541578,0
"sphericity","up4.n_flow","up4",0.00333131589999163,0.00803133099928692,0
"sphericity","up4.k_perm_mono","up4",0.00805547809126782,0.0105749122836768,0
"sphericity","up4.k_perm_plast","up4",0.0151097967243372,0.0259360400260999,1
"sphericity","up4.k_perm_bind","up4",0.0128210085201233,0.0173987643263045,1
"sphericity","up4.T_bp_solv","up4",0.0518452191992667,0.0596208988799135,0
"size_um","up1.v_tip","up1",51.107361382972,55.8549217525806,0
"size_um","up1.tau_mix","up1",6.47037194777572,13.9658318918539,0
"size_um","up1.P_mix","up1",0.210838992868661,0.525317329790047,0
"size_um","up1.T_mix","up1",45.3881218063474,76.1995192237409,0
"size_um","up1.C_gas_diss_temp","up1",0.323337539266832,1.01285274172161,0
"size_um","up1.Q_gas","up1",2.74152065142186,6.38415017339922,0
"size_um","up1.Q_colloid","up1",12.6569979746238,37.9366352082045,0
"size_um","up1.Q_template","up1",14.5837329379134,31.5732391373859,0
"size_um","up1.C_solid_mass","up1",13.2278899724392,33.1204467806677,1
"size_um","up1.C_temp_mass","up1",3.71661960466933e-12,7.60916022570729e-12,0
"size_um","up1.D_particle","up1",0.0639108737874004,0.200731519912438,1
"size_um","up1.D_template","up1",0.0114864337617091,0.0106925332045818,1
"size_um","up1.C_binder","up1",8.5120472365316,21.9732840442928,0
"size_um","up1.C_monomer","up1",4.7031431073257,13.3849039588906,0
"size_um","up1.C_plasticizer","up1",48.9755091907919,146.709725847201,0
"size_um","up1.C_surfactant","up1",4.63878782882528,9.38001710783027,1
"size_um","up1.CMC","up1",0.166547137289535,0.50607161374661,0
"size_um","up1.HLB","up1",25.8290702539679,78.7491496223653,1
"size_um","up1.MW_surfactant","up1",0.155072586350049,0.25240212381358,1
"size_um","up1.A_molecule","up1",0.021497799573575,0.0546827777865478,0
"size_um","up1.D_surf","up1",9.38843341844464e-05,0.000152277629992869,0
"size_um","up1.ionic_strength","up1",7.22657293019294,19.7386555301384,1
"size_um","up1.Delta_pH","up1",3.0358919977277,3.79790411949505,1
"size_um","up1.template_dose","up1",8.64764527474169,16.9447098612808,0
"size_um","up2.K_coal","up2",0.0322150136413851,0.0774997827647264,0
"size_um","up2.K_break","up2",0.000592467715724844,0.0019339019289953,1
"size_um","up2.K_burst","up2",5.08127707417525,17.5344777367304,0
"size_um","up2.d_b_burst","up2",0.0212302229540628,0.0728803523542198,0
"size_um","up2.frac_gas_coarse_ref","up2",1.84450404136399,2.7638891232256,1
"size_um","up3.rpm","up3",1.93997702703762,5.49608480516885,0
"size_um","up3.delta_rpm","up3",38.1874014032496,118.95470970992,1
"size_um","up3.r_pool","up3",8.5340085181302,25.057575869546,0
"size_um","up3.flow_rate_lpm","up3",0.675118104860573,1.14498151728048,0
"size_um","up3.pop_frac","up3",3.98225693574375,8.02940866818983,0
"size_um","up3.gas_sat_frac","up3",0.672702308042491,1.2880596958725,0
"size_um","up3.t_recover_sec","up3",3.9508886532739e-09,1.36852890754256e-08,0
"size_um","up3.contact_angle_deg","up3",4.70553018652069,9.10733551287938,0
"size_um","up3.chi_parameter","up3",0.0310383010393803,0.0366955689041169,1
"size_um","up3.S_base","up3",263.779392629417,814.006762253685,1
"size_um","up3.S_ceiling","up3",5.4888635588937,6.26612794762577,1
"size_um","up4.ALR","up4",450.207651112471,1014.68007946005,0
"size_um","up4.P_system","up4",22.2390246752557,26.4026685694115,0
"size_um","up4.P_feed","up4",13.3268792471334,24.2734745370109,0
"size_um","up4.mdot_L","up4",1.98020963650507,3.43360602151509,1
"size_um","up4.T_system","up4",7.25245647774877,11.2448557585246,1
"size_um","up4.mdot_gas_dry","up4",0.818560826041373,1.47921669017865,1
"size_um","up4.Y_in","up4",0.0228337794908694,0.0498215361183338,0
"size_um","up4.t_hold","up4",0.0103954607183396,0.0149388441535442,0
"size_um","up4.Tg_polymer","up4",0.456734140308264,1.04043650572569,0
"size_um","up4.n_flow","up4",159.759173184545,414.817444579073,0
"size_um","up4.k_perm_mono","up4",0.334731936783404,0.491122776381603,0
"size_um","up4.k_perm_plast","up4",0.838759265595586,1.99763916505658,1
"size_um","up4.k_perm_bind","up4",0.293209078125371,0.375875835939975,1
