"output","factor","module","group","mu","mu.star","sigma"
"up1_Residual_Template_Fraction","C_temp_mass","up1","Polymer",0,0,0
"up1_Residual_Template_Fraction","D_particle","up1","Polymer",-0.0145808623173036,0.0145808623173036,0.0096297945649003
"up1_Residual_Template_Fraction","D_template","up1","Polymer",0,0,0
"up1_Residual_Template_Fraction","C_binder","up1","Polymer",0,0,0
"up1_Residual_Template_Fraction","C_monomer","up1","Polymer",0.00569595754812725,0.00569595754812725,0.00393988601839566
"up1_Residual_Template_Fraction","C_plasticizer","up1","Polymer",0.00557680713324535,0.00557680713324535,0.00538519150148618
"up1_Residual_Template_Fraction","C_surfactant","up1","Surface",0,0,0
"up1_Residual_Template_Fraction","CMC","up1","Surface",0,0,0
"up1_Residual_Template_Fraction","HLB","up1","Surface",0,0,0
"up1_Residual_Template_Fraction","MW_surfactant","up1","Surface",0,0,0
"up1_Residual_Template_Fraction","A_molecule","up1","Surface",0,0,0
"up1_Residual_Template_Fraction","D_surf","up1","Surface",0,0,0
"up1_Residual_Template_Fraction","ionic_strength","up1","Surface",0,0,0
"up1_Residual_Template_Fraction","Delta_pH","up1","Surface",0,0,0
"up1_Residual_Template_Fraction","template_dose","up1","Polymer",0.0285509726827622,0.0285509726827622,0.012992442326315
"up1_Residual_Template_Fraction","ALR","up2","Process",0,0,0
"up1_Residual_Template_Fraction","P_atom_air","up2","Process",0,0,0
"up1_Residual_Template_Fraction","P_feed","up2","Process",0,0,0
"up1_Residual_Template_Fraction","mdot_L","up2","Process",0,0,0
"up1_Residual_Template_Fraction","sigma","up2","Surface",0,0,0
"up1_Residual_Template_Fraction","mu_L","up2","Polymer",0,0,0
"up1_Residual_Template_Fraction","T_dryer_in","up2","Process",0,0,0
"up1_Residual_Template_Fraction","mdot_gas_dry","up2","Process",0,0,0
"up1_Residual_Template_Fraction","Y_in","up2","Process",0,0,0
"up1_Residual_Template_Fraction","t_hold","up2","Process",0,0,0
"up1_Residual_Template_Fraction","D_b","up2","Process",0,0,0
"up1_Residual_Template_Fraction","Tg_polymer","up2","Polymer",0,0,0
"up1_Residual_Template_Fraction","n_flow","up2","Polymer",0,0,0
"up1_Residual_Template_Fraction","k_perm_mono","up2","Polymer",0,0,0
"up1_Residual_Template_Fraction","k_perm_plast","up2","Polymer",0,0,0
"up1_Residual_Template_Fraction","k_perm_bind","up2","Polymer",0,0,0
"up1_Residual_Template_Fraction","T_bp_solv","up2","Polymer",0,0,0
"up2_d_droplet_um","v_tip","up1","Process",53.131488955819,53.394000848552,115.236037012061
"up2_d_droplet_um","tau_mix","up1","Process",-113.753407970742,113.753407970742,227.491154123489
"up2_d_droplet_um","P_mix","up1","Process",12.4255329588022,13.8082681688402,38.4396856057854
