"output","factor","module","group","mu","mu.star","sigma","sigma_mu_ratio","interaction_type"
"up1_Blended_WetSkin","D_surf","up1","Surface",-1.01615499863741e-06,1.57943391010958e-06,3.12035414150075e-06,1.97561551738766,"Volatile"
"up1_Blended_WetSkin","ionic_strength","up1","Surface",0.000149919936226226,0.000149919936226226,0.00025331519020441,1.6896698103057,"Volatile"
"up1_Blended_WetSkin","Delta_pH","up1","Surface",-0.00017355294220055,0.00017355294220055,0.000226217325521255,1.30344851924117,"Volatile"
"up1_Blended_WetSkin","template_dose","up1","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","chi_template","up1","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","ALR","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","P_atom_air","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","P_feed","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","mdot_L","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","sigma","up2","Surface",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","mu_L","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","T_dryer_in","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","mdot_gas_dry","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","Y_in","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","t_hold","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","D_b","up2","Process",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","Tg_polymer","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","n_flow","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","k_perm_mono","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","k_perm_plast","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","k_perm_bind","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Blended_WetSkin","T_bp_solv","up2","Polymer",0,0,0,0,"No_interaction"
"up1_Template_Target_Score","v_tip","up1","Process",-0.0212469415625327,0.0212469415625327,0.0610572845140297,2.87369757827636,"Volatile"
"up1_Template_Target_Score","tau_mix","up1","Process",0.0779325297973951,0.0779325297973951,0.1148435418865,1.47362779297765,"Volatile"
"up1_Template_Target_Score","P_mix","up1","Process",-0.00197169418459067,0.00197169418459074,0.00777098074919298,3.94127081670425,"Volatile"
"up1_Template_Target_Score","T_mix","up1","Process",1.49062122336193e-07,1.49062122336193e-07,4.60057593002039e-07,3.0863480661065,"Volatile"
"up1_Template_Target_Score","C_gas_diss_temp","up1","Process",6.54462206324128e-05,6.5446220636998e-05,0.000355538869036569,5.4325347678759,"Volatile"
"up1_Template_Target_Score","Q_gas","up1","Process",0.0553944923951125,0.0553944923951125,0.134384805585196,2.42595968975885,"Volatile"
"up1_Template_Target_Score","Q_colloid","up1","Process",-0.0477768851038771,0.0477768851038771,0.08132781379849,1.70224186071708,"Volatile"
"up1_Template_Target_Score","Q_template","up1","Process",-0.028881252758356,0.028881252758356,0.0567937359537357,1.96645680258118,"Volatile"
"up1_Template_Target_Score","C_solid_mass","up1","Polymer",0.00324941180377298,0.00324941180377298,0.00574824241374051,1.76901013502385,"Volatile"
"up1_Template_Target_Score","C_temp_mass","up1","Polymer",5.45312460834927e-09,5.45312973757965e-09,2.98211403000618e-08,5.46862842718607,"Volatile"
"up1_Template_Target_Score","D_particle","up1","Polymer",-0.232175878729529,0.232175878729529,0.226258033526042,0.974511369415854,"Complex"
"up1_Template_Target_Score","D_template","up1","Polymer",3.76791190840701e-14,1.51895163114091e-13,5.72445085167591e-13,0.572445085167591,"Complex"
"up1_Template_Target_Score","C_binder","up1","Polymer",-2.17140048340096e-08,2.30084616701746e-08,8.96980938970723e-08,3.8984828791638,"Volatile"
"up1_Template_Target_Score","C_monomer","up1","Polymer",4.68991960915025e-09,2.60102281833078e-08,7.93319679112753e-08,3.05002967879332,"Volatile"
"up1_Template_Target_Score","C_plasticizer","up1","Polymer",6.14001843872169e-06,7.12239572932723e-06,2.7397830698712e-05,3.84671559120178,"Volatile"
"up1_Template_Target_Score","C_surfactant","up1","Surface",-0.300094285057554,0.300094285057554,0.331399606328236,1.1043182853838,"Volatile"
"up1_Template_Target_Score","CMC","up1","Surface",-0.00887617484175762,0.00887617484175762,0.0339763540089729,3.82781486560319,"Volatile"
"up1_Template_Target_Score","HLB","up1","Surface",-0.00395970842956562,0.00509305710883452,0.0149952678908106,2.94425677355935,"Volatile"
"up1_Template_Target_Score","MW_surfactant","up1","Surface",0.172516467270558,0.172516467270558,0.279757306290293,1.62162668130428,"Volatile"
"up1_Template_Target_Score","A_molecule","up1","Surface",-0.213955331100517,0.213955331100517,0.342760743416365,1.60202011164346,"Volatile"
"up1_Template_Target_Score","D_surf","up1","Surface",1.93123628598283e-08,9.07724481163941e-08,2.27942900639261e-07,2.51114633756466,"Volatile"
"up1_Template_Target_Score","ionic_strength","up1","Surface",0.00080385300854093,0.00080385300854093,0.00181652795196397,2.25977626837665,"Volatile"
"up1_Template_Target_Score","Delta_pH","up1","Surface",-0.00232602710232786,0.00232602710232786,0.00579472457884155,2.49125411008421,"Volatile"
"up1_Template_Target_Score","template_dose","up1","Polymer",0.07252756341677,0.261839551734365,0.399222189975053,1.52468252916986,"Volatile"
