"output","factor","kind","mu","mu.star","sigma"
"up2_phi_porosity_z","T_bp_solv","solvent(bp/type)",0.00418278468810147,0.00527711891787269,0.010148465568833
"up2_phi_porosity_z","k_perm_mono","material:monomer perm",-0.0186693008935844,0.0186693008935844,0.0110177243672351
"up2_phi_porosity_z","k_perm_plast","material:plast perm",-0.0250503095727877,0.0250503095727877,0.0130140269606558
"up2_phi_porosity_z","k_perm_bind","material:binder perm",0.0203122702058553,0.0203122702058553,0.00930994888982035
"up2_rho_tapped","C_monomer","dose:monomer",3.00551643351418,6.68394736698882,8.09865591167941
"up2_rho_tapped","C_plasticizer","dose:plasticizer",6.35630347532104,9.69328251863247,10.2845708985964
"up2_rho_tapped","C_binder","dose:binder",-20.2846181806828,20.2846181806828,8.43553465449928
"up2_rho_tapped","template_dose","dose:solvent(amount)",-30.4982580684558,30.4982580684558,4.53977146570537
"up2_rho_tapped","T_bp_solv","solvent(bp/type)",-0.397953855150337,2.20318655937162,4.03718318921032
"up2_rho_tapped","k_perm_mono","material:monomer perm",13.7483392062269,13.7483392062269,7.84529728297604
"up2_rho_tapped","k_perm_plast","material:plast perm",18.5418376817921,18.5418376817921,9.14143743489271
"up2_rho_tapped","k_perm_bind","material:binder perm",-14.9910878500721,14.9910878500721,6.88330026643588
"up2_Tg_product_K","C_monomer","dose:monomer",-10.2050180587211,10.2050180587211,1.22033685443449
"up2_Tg_product_K","C_plasticizer","dose:plasticizer",-24.5190121479889,24.5190121479889,1.60461671761325
"up2_Tg_product_K","C_binder","dose:binder",0,0,0
"up2_Tg_product_K","template_dose","dose:solvent(amount)",-1.14918966342209,1.14918966342209,1.64781372745605
"up2_Tg_product_K","T_bp_solv","solvent(bp/type)",-1.33706983140083,1.33706983140083,1.61062774581388
"up2_Tg_product_K","k_perm_mono","material:monomer perm",0,0,0
"up2_Tg_product_K","k_perm_plast","material:plast perm",0,0,0
"up2_Tg_product_K","k_perm_bind","material:binder perm",0,0,0
"up2_X_moisture","C_monomer","dose:monomer",0,0,0
"up2_X_moisture","C_plasticizer","dose:plasticizer",0,0,0
"up2_X_moisture","C_binder","dose:binder",0,0,0
"up2_X_moisture","template_dose","dose:solvent(amount)",0,0,0
"up2_X_moisture","T_bp_solv","solvent(bp/type)",0,0,0
"up2_X_moisture","k_perm_mono","material:monomer perm",0,0,0
"up2_X_moisture","k_perm_plast","material:plast perm",0,0,0
"up2_X_moisture","k_perm_bind","material:binder perm",0,0,0
"up2_Perm_shell_rel","C_monomer","dose:monomer",2.73825044409197,2.73825044409197,4.08217556596481
"up2_Perm_shell_rel","C_plasticizer","dose:plasticizer",3.21643984848339,3.21643984848339,4.58754144837882
"up2_Perm_shell_rel","C_binder","dose:binder",-3.42870195307061,3.42870195307061,4.20904783850295
"up2_Perm_shell_rel","template_dose","dose:solvent(amount)",0.177339161561361,0.177339161561361,0.199712571358008
"up2_Perm_shell_rel","T_bp_solv","solvent(bp/type)",0,0,0
"up2_Perm_shell_rel","k_perm_mono","material:monomer perm",3.09454711406576,3.09454711406576,3.29620035824382
"up2_Perm_shell_rel","k_perm_plast","material:plast perm",4.03413316345934,4.03413316345934,3.64205418346022
"up2_Perm_shell_rel","k_perm_bind","material:binder perm",-3.4192763140652,3.4192763140652,5.00449031897186
"up2_D_pore_um","C_monomer","dose:monomer",-0.0682515769907792,0.0682515769907792,0.032095657374288
"up2_D_pore_um","C_plasticizer","dose:plasticizer",-0.0919626133939019,0.0919626133939019,0.0415218915949329
"up2_D_pore_um","C_binder","dose:binder",0.0487600797832989,0.0537176433437442,0.0497364670978645
"up2_D_pore_um","template_dose","dose:solvent(amount)",-0.00652497495620393,0.00652497495620393,0.00225849665454964
"up2_D_pore_um","T_bp_solv","solvent(bp/type)",0.0528496241276156,0.0528496241276156,0.0655355968204354
"up2_D_pore_um","k_perm_mono","material:monomer perm",-0.059358110450713,0.0599121958718225,0.0408956661395214
"up2_D_pore_um","k_perm_plast","material:plast perm",-0.0808890799452563,0.0808890799452563,0.0546962203304032
"up2_D_pore_um","k_perm_bind","material:binder perm",0.0554425542634556,0.0559419769844191,0.0399701639579104
"up2_solv_retained","C_monomer","dose:monomer",1.8573449997801e-05,1.8573449997801e-05,3.62670447993218e-05
"up2_solv_retained","C_plasticizer","dose:plasticizer",1.94293982348867e-05,1.94293982348867e-05,5.68911267715892e-05
"up2_solv_retained","C_binder","dose:binder",0,0,0
"up2_solv_retained","template_dose","dose:solvent(amount)",-0.00564835401970396,0.00564835401970396,0.00798881432716972
"up2_solv_retained","T_bp_solv","solvent(bp/type)",0.123952194023242,0.123952194023242,0.118582600324304
"up2_solv_retained","k_perm_mono","material:monomer perm",0,0,0
"up2_solv_retained","k_perm_plast","material:plast perm",0,0,0
