"output","group","factor","mu","mu.star","sigma"
"Yield_Loss_Centrate","additive","plasticizer_frac",-0.0162469061336903,0.0162469061336903,0.0233513331506139
"Yield_Loss_Centrate","additive","C_monomer",0,0,0
"Yield_Loss_Centrate","additive","C_binder",-1.35803761849296e-05,1.35884129974488e-05,3.76082264943339e-05
"Yield_Loss_Centrate","additive","chi_parameter",0,0,0
"Yield_Loss_Centrate","additive","S_base",0,0,0
"Yield_Loss_Centrate","additive","S_ceiling",0,0,0
"Cut_Size_d50c_um","process","rpm",-1.7393203408513,1.7393203408513,2.32543635863007
"Cut_Size_d50c_um","process","delta_rpm",0,0,0
"Cut_Size_d50c_um","process","r_pool",-0.135282987571576,0.135282987571576,0.152817246638065
"Cut_Size_d50c_um","process","flow_rate_lpm",1.45796415522483,1.45796415522483,1.22938834672588
"Cut_Size_d50c_um","process","feed_solid_frac",3.34472692585672,3.34472692585672,4.02887779522026
"Cut_Size_d50c_um","process","feed_gas_frac",0.756509390622844,0.771444941675676,0.914280574851004
"Cut_Size_d50c_um","process","pop_frac",0.0125022617140717,0.0127770956271491,0.0274252793277578
"Cut_Size_d50c_um","process","T_process",-1.01063773417186,1.01063773417186,1.10711530732813
"Cut_Size_d50c_um","process","P_feed",0,0,0
"Cut_Size_d50c_um","process","gas_sat_frac",0,0,0
"Cut_Size_d50c_um","process","D_b",0.000823306901750853,0.00131437825549503,0.00257418000062876
"Cut_Size_d50c_um","surface","HLB_value",0.0103787254315473,0.0105412850474281,0.0192965314711911
"Cut_Size_d50c_um","surface","surf_dose_kg_m3",0,0,0
"Cut_Size_d50c_um","surface","t_recover_sec",2.27693170244218e-09,2.27693170244218e-09,1.13807260292721e-08
"Cut_Size_d50c_um","surface","I_strength",0.000623840316910954,0.000648971674437382,0.0016040666969196
"Cut_Size_d50c_um","surface","Delta_pH",-0.00120271280269423,0.00124126528328175,0.0050927232506865
"Cut_Size_d50c_um","surface","contact_angle_deg",0.0379524527275854,0.0509355899872878,0.12863528294933
"Cut_Size_d50c_um","additive","plasticizer_frac",-1.27167811594844,1.27167811594844,1.19323331009909
"Cut_Size_d50c_um","additive","C_monomer",0,0,0
"Cut_Size_d50c_um","additive","C_binder",-0.000513587538695023,0.000514450638704012,0.00142578446000666
"Cut_Size_d50c_um","additive","chi_parameter",0,0,0
"Cut_Size_d50c_um","additive","S_base",0,0,0
"Cut_Size_d50c_um","additive","S_ceiling",0,0,0
"Cake_d50_um","process","rpm",-0.8132155022359,0.8132155022359,1.9916478146352
"Cake_d50_um","process","delta_rpm",0,0,0
"Cake_d50_um","process","r_pool",-0.0666864205187196,0.0666864205187196,0.135499132972779
"Cake_d50_um","process","flow_rate_lpm",0.705631847727985,0.705631847727985,1.03275470561724
"Cake_d50_um","process","feed_solid_frac",1.55585513585209,1.55585513585209,3.16449397571388
"Cake_d50_um","process","feed_gas_frac",0.282162858759418,0.284001464345444,0.409212560580053
"Cake_d50_um","process","pop_frac",0.00870764006383122,0.00874811439608934,0.0202408169401855
"Cake_d50_um","process","T_process",-0.526766949387899,0.526766949387899,0.925305768053128
