"output","factor","type","mu","mu.star","sigma","sigma_mu_ratio","interaction_type"
"d90_um","k_perm_mono","Polymer",0,0,0,0,"No_interaction"
"d90_um","k_perm_plast","Polymer",0,0,0,0,"No_interaction"
"d90_um","k_perm_bind","Polymer",0,0,0,0,"No_interaction"
"d90_um","phi_emulsion","Polymer",32.8856724317103,37.6071172689181,102.859863752878,2.73511694654381,"Volatile"
"d90_um","D_template","Process",-0.477764551416202,0.572648916865945,0.828180959016694,1.44622810700359,"Volatile"
"d90_um","T_bp_solv","Process",29.1840128026827,29.1840128026827,76.6899516527409,2.62780694934767,"Volatile"
"d99_um","ALR","Process",-60.6162328875344,60.6162328875344,88.8561519315241,1.46588046961588,"Volatile"
"d99_um","P_system","Process",-11.2407542390481,25.9818330203101,42.5163249286238,1.6363866589162,"Volatile"
"d99_um","P_feed","Process",-52.4324572557766,52.4324572557766,75.2891847390274,1.43592707035932,"Volatile"
"d99_um","mdot_L","Process",4.27816023305912,4.27816023305912,2.04323644687854,0.47759698925945,"Complex"
"d99_um","sigma","Surface",14.2884283353488,24.0758649943147,27.1913081756754,1.12940109034904,"Volatile"
"d99_um","mu_L","Process",243.202539584057,243.202539584057,521.727581156494,2.14523903429953,"Volatile"
"d99_um","rho_L","Process",34.7078240361791,36.0893734471479,97.5076839633777,2.70183920222875,"Volatile"
"d99_um","alpha_g_0","Process",-43.5817994423576,44.8069483180531,55.6764027955155,1.24258412780776,"Volatile"
"d99_um","D_b","Process",2.58931744586529,2.63784977359671,6.84383698921442,2.59447564365382,"Volatile"
"d99_um","C_solid_mass","Process",99.2225354705059,99.2225354705059,196.438879426533,1.97978088843461,"Volatile"
"d99_um","T_system","Process",0,0,0,0,"No_interaction"
"d99_um","mdot_gas_dry","Process",0,0,0,0,"No_interaction"
"d99_um","Y_in","Process",0,0,0,0,"No_interaction"
"d99_um","T_feed","Process",-29.0372035130551,29.0372035130551,57.9198189635643,1.99467620693995,"Volatile"
"d99_um","t_hold","Process",2.42585326813497,2.42585326813497,7.32630084119657,3.02009232686572,"Volatile"
"d99_um","C_monomer","Polymer",0,0,0,0,"No_interaction"
"d99_um","C_plasticizer","Polymer",0,0,0,0,"No_interaction"
"d99_um","C_binder","Polymer",29.1481052255502,29.1481052255502,87.5193846026416,3.00257543073247,"Volatile"
"d99_um","C_surfactant","Surface",-25.0453461591529,25.8561159297476,14.9487938427308,0.578153110209879,"Complex"
"d99_um","Delta_pH","Surface",0,0,0,0,"No_interaction"
"d99_um","I_strength","Surface",0,0,0,0,"No_interaction"
"d99_um","Tg_polymer","Polymer",0,0,0,0,"No_interaction"
"d99_um","n_flow","Polymer",175.833269303973,175.833269303973,378.171139723087,2.15073712284403,"Volatile"
"d99_um","k_perm_mono","Polymer",0,0,0,0,"No_interaction"
"d99_um","k_perm_plast","Polymer",0,0,0,0,"No_interaction"
"d99_um","k_perm_bind","Polymer",0,0,0,0,"No_interaction"
"d99_um","phi_emulsion","Polymer",51.7578717595026,60.9395166180726,161.267639423109,2.6463557371783,"Volatile"
"d99_um","D_template","Process",-1.17936306165781,1.18036118632974,1.65644535082606,1.40333769867227,"Volatile"
"d99_um","T_bp_solv","Process",52.2671303526437,52.2671303526437,125.329057982971,2.39785611219483,"Volatile"
"span","ALR","Process",0.0713460813579596,0.392165189245016,0.606351597284406,1.5461637440379,"Volatile"
"span","P_system","Process",0.0474223778669022,0.261694911366154,0.46253799179433,1.76747033169156,"Volatile"
"span","P_feed","Process",-0.0318710720163038,0.0958223694094868,0.185404437820334,1.93487636512126,"Volatile"
"span","mdot_L","Process",0.00252398984259672,0.0219289010419357,0.0370646219019042,1.69021793800901,"Volatile"
"span","sigma","Surface",-0.00183263270721242,0.0377185090753974,0.0723368980595732,1.91780905006015,"Volatile"
"span","mu_L","Process",-0.0110697260390051,0.466625531917694,0.733089282283568,1.57104408597358,"Volatile"
"span","rho_L","Process",-0.00503842570033853,0.0494063218842705,0.193335542286273,3.91317416299766,"Volatile"
"span","alpha_g_0","Process",0.104471861838138,0.183443132838279,0.285368905542173,1.55562599224551,"Volatile"
"span","D_b","Process",-0.0301811502002591,0.0301811502002591,0.0436514512388228,1.44631503270038,"Volatile"
"span","C_solid_mass","Process",-0.0549124806237576,0.191946846706064,0.476569742831714,2.48282142171111,"Volatile"
"span","T_system","Process",0,0,0,0,"No_interaction"
"span","mdot_gas_dry","Process",0,0,0,0,"No_interaction"
"span","Y_in","Process",0,0,0,0,"No_interaction"
"span","T_feed","Process",0.119949082490559,0.1353399963307,0.237759322778679,1.75675579447867,"Volatile"
"span","t_hold","Process",-0.0406627421771252,0.0406627421771252,0.0363885609569955,0.894887039307102,"Complex"
"span","C_monomer","Polymer",0,0,0,0,"No_interaction"
"span","C_plasticizer","Polymer",0,0,0,0,"No_interaction"
"span","C_binder","Polymer",0.00664762856263934,0.0513649799770116,0.109144054399532,2.12487290851432,"Volatile"
"span","C_surfactant","Surface",0.067467987575551,0.192242732986878,0.348124895065919,1.81086114235424,"Volatile"
"span","Delta_pH","Surface",0,0,0,0,"No_interaction"
"span","I_strength","Surface",0,0,0,0,"No_interaction"
"span","Tg_polymer","Polymer",0,0,0,0,"No_interaction"
"span","n_flow","Polymer",0.12593960983331,0.251424458350375,0.422580480216591,1.68074531407641,"Volatile"
"span","k_perm_mono","Polymer",0,0,0,0,"No_interaction"
"span","k_perm_plast","Polymer",0,0,0,0,"No_interaction"
"span","k_perm_bind","Polymer",0,0,0,0,"No_interaction"
"span","phi_emulsion","Polymer",0.0876889003482765,0.288707666251259,0.479346215413042,1.66031689299124,"Volatile"
"span","D_template","Process",0.00279616807358741,0.0123044670348136,0.0401547077414992,3.26342519573482,"Volatile"
"span","T_bp_solv","Process",-0.245186131912227,0.245186131912227,0.349910859039731,1.42712337076631,"Volatile"
"BI_bimodal","ALR","Process",0.28809532540148,0.28809532540148,0.0920394232991953,0.319475587363079,"Complex"
"BI_bimodal","P_system","Process",0.0969328800874694,0.0969328800874694,0.0514060664523688,0.530326411491967,"Complex"
"BI_bimodal","P_feed","Process",0.000683968306867109,0.0292188528523662,0.0378772037208221,1.29632754277534,"Volatile"
"BI_bimodal","mdot_L","Process",-0.0114766438523212,0.0114766438523212,0.00306675722429957,0.267217251294185,"Linear"
"BI_bimodal","sigma","Surface",0.00394599997054739,0.00394599997054739,0.0174267670604804,4.41631200976998,"Volatile"
"BI_bimodal","mu_L","Process",-0.0113926426246944,0.0113926426246944,0.0338793435557223,2.97379147857111,"Volatile"
"BI_bimodal","rho_L","Process",-0.00128683428409036,0.00427472134359377,0.0170870885951047,3.99724033958656,"Volatile"
"BI_bimodal","alpha_g_0","Process",0.0339256931452861,0.04405282790827,0.0388969278505304,0.882960974299412,"Complex"
"BI_bimodal","D_b","Process",-0.013696362457024,0.013696362457024,0.0161387841050134,1.17832630055266,"Volatile"
"BI_bimodal","C_solid_mass","Process",-0.0101941700348843,0.0113817125124577,0.024227417145923,2.12862670001594,"Volatile"
"BI_bimodal","T_system","Process",0,0,0,0,"No_interaction"
"BI_bimodal","mdot_gas_dry","Process",0,0,0,0,"No_interaction"
"BI_bimodal","Y_in","Process",0,0,0,0,"No_interaction"
"BI_bimodal","T_feed","Process",0.0799037197000764,0.0799037197000764,0.0927609945536031,1.16090959096507,"Volatile"
"BI_bimodal","t_hold","Process",-0.02129628829636,0.02129628829636,0.0186436658548557,0.875442029869702,"Complex"
"BI_bimodal","C_monomer","Polymer",0,0,0,0,"No_interaction"
"BI_bimodal","C_plasticizer","Polymer",0,0,0,0,"No_interaction"
"BI_bimodal","C_binder","Polymer",-0.00283835631681014,0.00283835631681014,0.0131360293694447,4.62804098683689,"Volatile"
"BI_bimodal","C_surfactant","Surface",0.0267360187695591,0.0365140728621638,0.045152706964407,1.23658369020769,"Volatile"
"BI_bimodal","Delta_pH","Surface",0,0,0,0,"No_interaction"
"BI_bimodal","I_strength","Surface",0,0,0,0,"No_interaction"
"BI_bimodal","Tg_polymer","Polymer",0,0,0,0,"No_interaction"
"BI_bimodal","n_flow","Polymer",-0.00822167732722189,0.00822167732722189,0.0371833453753544,4.52259847905253,"Volatile"
"BI_bimodal","k_perm_mono","Polymer",0,0,0,0,"No_interaction"
"BI_bimodal","k_perm_plast","Polymer",0,0,0,0,"No_interaction"
"BI_bimodal","k_perm_bind","Polymer",0,0,0,0,"No_interaction"
"BI_bimodal","phi_emulsion","Polymer",0.0534873543986086,0.0585535035738342,0.092255378022263,1.57557400311549,"Volatile"
"BI_bimodal","D_template","Process",0.00107782041217454,0.0011798196383563,0.00242695724967508,2.05705785085614,"Volatile"
"BI_bimodal","T_bp_solv","Process",-0.108366567816972,0.108366567816972,0.146180387945805,1.34894359847863,"Volatile"
"D_particle_um","ALR","Process",-13.3727271508282,13.3727271508282,35.9361158957612,2.6872690581693,"Volatile"
"D_particle_um","P_system","Process",-3.05997217491482,4.03402277661709,7.83302949891435,1.94174151527302,"Volatile"
"D_particle_um","P_feed","Process",-5.44806223054831,5.44806223054831,11.7085799859507,2.14912743108889,"Volatile"
