"template","dose","Bond_Strength","Retained_Porosity","Template_Target_Score"
"capillary_bridge",0.239661016949153,0.0965355159112541,0.35994627362118,0.0965211320905202
"capillary_bridge",0.257966101694915,0.0976010504883487,0.359946273592106,0.0975865073533799
"capillary_bridge",0.276271186440678,0.098403583104347,0.359946273561,0.0983889199794945
"capillary_bridge",0.294576271186441,0.0990066032387372,0.35994627352764,0.0989918499533035
"capillary_bridge",0.312881355932203,0.0994589065406479,0.359946273491773,0.0994440856272271
"capillary_bridge",0.331186440677966,0.099797711020188,0.359946273453104,0.0997828394463733
"capillary_bridge",0.349491525423729,0.100051244360512,0.359946273411292,0.100036334873387
"capillary_bridge",0.367796610169492,0.100240826147733,0.359946273365938,0.100225888306845
"capillary_bridge",0.386101694915254,0.100382508432686,0.359946273316572,0.100367549397633
"capillary_bridge",0.404406779661017,0.100488349248029,0.359946273262637,0.100473374375591
"capillary_bridge",0.42271186440678,0.100567390779587,0.359946273203467,0.100552404074587
"capillary_bridge",0.441016949152542,0.100626404956724,0.359946273138261,0.100611409411394
"capillary_bridge",0.459322033898305,0.100670458600302,0.359946273066047,0.100655456449146
"capillary_bridge",0.477627118644068,0.100703340047732,0.35994627298563,0.100688332958593
"capillary_bridge",0.495932203389831,0.100727880238457,0.359946272895529,0.100712869455563
"capillary_bridge",0.514237288135593,0.100746193830284,0.359946272793882,0.100731180281219
"capillary_bridge",0.532542372881356,0.100759859964649,0.359946272678318,0.100744844340266
"capillary_bridge",0.550847457627119,0.100770057620469,0.359946272545768,0.100755040434516
"capillary_bridge",0.569152542372881,0.10077766687236,0.359946272392191,0.100762648505891
"capillary_bridge",0.587457627118644,0.10078334459054,0.359946272212153,0.100768325324892
"capillary_bridge",0.605762711864407,0.100787581004941,0.359946271998169,0.10077256104607
"capillary_bridge",0.62406779661017,0.100790741954872,0.35994627173964,0.100775721451077
"capillary_bridge",0.642372881355932,0.10079310043788,0.359946271421039,0.100778079492303
"capillary_bridge",0.660677966101695,0.100794860163138,0.359946271018679,0.100779838841836
"capillary_bridge",0.678983050847458,0.100796173132922,0.35994627049453,0.100781151468579
"capillary_bridge",0.69728813559322,0.100797152764812,0.359946269783434,0.100782130754916
"capillary_bridge",0.715593220338983,0.100797883684809,0.359946268763668,0.100782861280111
"capillary_bridge",0.733898305084746,0.100798429035461,0.35994626717854,0.100783406105403
"capillary_bridge",0.752203389830509,0.100798835929317,0.359946264377584,0.100783812154167
"capillary_bridge",0.770508474576271,0.10079913951823,0.359946258091753,0.100784113937672
"capillary_bridge",0.788813559322034,0.100799366029749,0.359946231112492,0.100784332861177
"capillary_bridge",0.807118644067797,0.100799535032739,0.354873830807126,0.0993642366637101
"capillary_bridge",0.82542372881356,0.100799661127856,0.341694710598183,0.0956742206921761
"capillary_bridge",0.843728813559322,0.100799755208869,0.328515137962155,0.0919840396725744
"capillary_bridge",0.862033898305085,0.100799825403773,0.315335513432274,0.0882938163990588
"capillary_bridge",0.880338983050848,0.100799877776971,0.302155872513442,0.084603568537825
"capillary_bridge",0.89864406779661,0.100799916853189,0.288976224368226,0.0809133042573575
"capillary_bridge",0.916949152542373,0.100799946008383,0.275796572441094,0.0772230285849902
"capillary_bridge",0.935254237288136,0.100799967761388,0.262616918347133,0.0735327449194412
"capillary_bridge",0.953559322033898,0.100799983991541,0.24943726301853,0.0698424556603552
"capillary_bridge",0.971864406779661,0.100799996101032,0.236257607311671,0.0661521626030503
"capillary_bridge",0.990169491525424,0.100800005136054,0.223077954712396,0.0624618678599429
"capillary_bridge",1.00847457627119,0.10080001187718,0.216000002708935,0.0604800465598219
"capillary_bridge",1.02677966101695,0.100800016906807,0.215999996901568,0.0604800479515342
"capillary_bridge",1.04508474576271,0.100800020659465,0.215999995809955,0.0604800498974758
"capillary_bridge",1.06338983050847,0.100800023459364,0.215999995348791,0.0604800514482879
"capillary_bridge",1.08169491525424,0.100800025548398,0.215999995094291,0.0604800526304472
"capillary_bridge",1.1,0.100800027107048,0.215999994932963,0.060480053520465
